"probeID"	"GeneSymbol"
"11715525_a_at"	"ATP6V1G2-DDX39B"
"11715525_a_at"	"DDX39B"
"11715526_s_at"	"ATP6V1G2-DDX39B"
"11715526_s_at"	"DDX39B"
"11715527_x_at"	"ATP6V1G2-DDX39B"
"11715527_x_at"	"DDX39B"
"11715528_a_at"	"ATP6V1G2-DDX39B"
"11715528_a_at"	"DDX39B"
"11715529_x_at"	"ATP6V1G2-DDX39B"
"11715529_x_at"	"DDX39B"
"11715530_a_at"	"CCT6A"
"11715531_at"	"PRPF8"
"11715532_a_at"	"IFNGR2"
"11715533_a_at"	"LRP1"
"11715534_a_at"	"LRP1"
"11715535_a_at"	"GPS1"
"11715536_a_at"	"IDH2"
"11715537_x_at"	"IDH2"
"11715538_s_at"	"RPLP1"
"11715539_x_at"	"RPLP1"
"11715540_s_at"	"RPS14"
"11715629_a_at"	"LAPTM4A"
"11715630_s_at"	"LAPTM4A"
"11715631_x_at"	"LAPTM4A"
"11715632_at"	"MAF1"
"11715633_x_at"	"MAF1"
"11715634_s_at"	"TMEM14C"
"11715635_x_at"	"TMEM14C"
"11715636_a_at"	"SERPINE1"
"11715637_a_at"	"UGP2"
"11715638_s_at"	"LPCAT1"
"11715639_a_at"	"TTC3"
"11715640_a_at"	"TTC3"
"11715641_a_at"	"TTC3"
"11715642_s_at"	"TTC3"
"11715643_a_at"	"ATP6AP2"
"11715644_s_at"	"ATP6AP2"
"11715646_a_at"	"ADIPOR1"
"11715647_a_at"	"ADIPOR1"
"11715648_x_at"	"ADIPOR1"
"11715649_s_at"	"TXNRD1"
"11715650_a_at"	"TXNRD1"
"11715651_s_at"	"FSTL1"
"11715652_a_at"	"PCOLCE"
"11715653_a_at"	"RTFDC1"
"11715654_x_at"	"RTFDC1"
"11715655_s_at"	"VDAC1"
"11715656_at"	"COX5A"
"11715657_a_at"	"GLB1"
"11715658_a_at"	"SLC39A1"
"11715659_s_at"	"ERRFI1"
"11715660_a_at"	"RPN2"
"11715661_a_at"	"TMEM189-UBE2V1"
"11715661_a_at"	"UBE2V1"
"11715662_x_at"	"TMEM189-UBE2V1"
"11715662_x_at"	"UBE2V1"
"11715663_a_at"	"STARD7"
"11715664_a_at"	"STARD7"
"11715665_a_at"	"PSMB8"
"11715666_a_at"	"TPM3"
"11715667_s_at"	"TPM3"
"11715668_a_at"	"PSMA5"
"11715669_s_at"	"DCTN1"
"11715670_a_at"	"IFITM1"
"11715671_x_at"	"IFITM1"
"11715672_a_at"	"WDR83OS"
"11715673_x_at"	"JUNB"
"11715674_s_at"	"CCNG1"
"11715675_a_at"	"CCNG1"
"11715676_s_at"	"NCSTN"
"11715677_x_at"	"NCSTN"
"11715678_s_at"	"NAP1L4"
"11715679_s_at"	"PRNP"
"11715680_s_at"	"C12orf57"
"11715681_s_at"	"CREG1"
"11715682_a_at"	"CREG1"
"11715683_a_at"	"KRT7"
"11715684_a_at"	"PPA1"
"11715685_s_at"	"ARPC5"
"11715686_s_at"	"ARPC5"
"11715687_x_at"	"ARPC5"
"11715688_x_at"	"CTRB2"
"11715689_a_at"	"CD164"
"11715690_x_at"	"CD164"
"11715691_s_at"	"ZFP36"
"11715692_a_at"	"CIRBP"
"11715694_at"	"COX7B"
"11715695_x_at"	"COX7B"
"11715696_a_at"	"NOLC1"
"11715697_a_at"	"NOLC1"
"11715698_a_at"	"NOLC1"
"11715699_s_at"	"SEC16A"
"11715700_s_at"	"WDR6"
"11715701_s_at"	"PFN2"
"11715702_at"	"ITGA5"
"11715703_s_at"	"ITGA5"
"11715704_x_at"	"ITGA5"
"11715705_a_at"	"MGEA5"
"11715706_x_at"	"MGEA5"
"11715707_a_at"	"MGEA5"
"11715708_s_at"	"MB"
"11715709_x_at"	"MB"
"11715710_s_at"	"CTSC"
"11715711_a_at"	"AKR1C3"
"11715712_a_at"	"NRDC"
"11715713_a_at"	"VOPP1"
"11715714_s_at"	"VOPP1"
