ID	gene_symbol	n
11731297_x_at	MAGEA2B	2
11731343_s_at	MAGEA9	2
11731343_s_at	MAGEA9B	2
11731353_s_at	RIMBP3	3
11731353_s_at	RIMBP3B	3
11731353_s_at	RIMBP3C	3
11731393_s_at	OR1E1	2
11731393_s_at	OR1E2	2
11731608_s_at	EGFL8	3
11731608_s_at	PPT2	3
11731608_s_at	PPT2-EGFL8	3
11731640_at	LOC102724200	2
11731640_at	TRAPPC10	2
11731651_x_at	ARL2-SNX15	2
11731651_x_at	SNX15	2
11731652_a_at	C20orf24	2
11731652_a_at	TGIF2-C20orf24	2
11731782_s_at	CT45A1	10
11731782_s_at	CT45A10	10
11731782_s_at	CT45A2	10
11731782_s_at	CT45A3	10
11731782_s_at	CT45A4	10
11731782_s_at	CT45A5	10
11731782_s_at	CT45A6	10
11731782_s_at	CT45A7	10
11731782_s_at	CT45A8	10
11731782_s_at	CT45A9	10
11731848_s_at	KLRC1	2
11731848_s_at	KLRC2	2
11731891_s_at	ZNF658	2
11731891_s_at	ZNF658B	2
11731943_x_at	AGAP6	2
11731943_x_at	AGAP7P	2
11731986_a_at	XG	2
11731986_a_at	XGY2	2
11731994_s_at	SPANXA1	2
11731994_s_at	SPANXA2	2
11732003_a_at	CRHR1	2
11732003_a_at	MGC57346-CRHR1	2
11732040_x_at	SSX4	2
11732040_x_at	SSX4B	2
11732049_at	PRR20A	5
11732049_at	PRR20B	5
11732049_at	PRR20C	5
11732049_at	PRR20D	5
11732049_at	PRR20E	5
11732075_s_at	LOC105369264	2
11732075_s_at	PTPN20	2
11732222_s_at	TVP23B	2
11732222_s_at	TVP23C	2
11732342_s_at	ZNF33A	2
11732342_s_at	ZNF33B	2
11732449_s_at	GTF2I	3
11732449_s_at	GTF2IP1	3
11732449_s_at	GTF2IP4	3
11732491_s_at	BRAF	2
11732491_s_at	KIAA1549	2
11732524_a_at	CHKB-CPT1B	2
11732524_a_at	CPT1B	2
11732532_at	JSRP1	2
11732532_at	LOC105372240	2
